## ------------------------------------------------------------------------- ##
## TEMPLATE DATA FILE FOR iSCAM                                              ##
## TIPS: -use '#' as comment character for the data file                     ##
##       -use '#' on all blank lines (windows compatible)                    ##
##       -sex: 0=asexual, 1=female, 2=male                                   ##  
##                                                                           ##
##                                                                           ##
## TEMPLATE is based on Flack Lake Trout (ADMB catage example)               ##
## ------------------------------------------------------------------------- ##
##
##
##
## ------------------------------------------------------------------------- ##
## MODEL DIMENSIONS                                                          ##
## ------------------------------------------------------------------------- ##
1        # -number of areas            (narea)
1        # -number of groups or stocks (ngroup)
1        # -number of sexes            (nsex)
1951     # -first year of data         (syr)
2012     # -last year of data          (nyr)
2        # -age of youngest age class  (sage)
10       # -age of plus group          (nage)
5        # -number of gears            (ngear)
##
## ------------------------------------------------------------------------- ##
## Allocation for each gear in (ngear), use 0 for survey gears.              ##
## ------------------------------------------------------------------------- ##
0.083 0.442 0.474 0 0
##
##
## ------------------------------------------------------------------------- ##
##
## ------------------------------------------------------------------------- ##
## Age-schedule and population parameters                                    ##
## ------------------------------------------------------------------------- ##
## Need one value for each area and sex.
##
27.0                    # -asymptotic length (linf)  
0.48                    # -brody growth coefficient (k)
0.0                     # -theoretical age at zero length (to)
4.5e-6                  # -scaler in length-weight allometry
3.1270                  # -power parameter in length-weight allometry
3.055                   # -age at 50% maturity (approx with log(3.0)/k)
0.05                    # -std at 50% maturity (CV ~ 0.1)
0                       # -(if n_MAT==1) use the following vector for maturity
0                       #mat vec
##
## ------------------------------------------------------------------------- ##
## TIME SERIES DATA                                                          ##
## ------------------------------------------------------------------------- ##
## Observed catch from all gears, areas, and sex                             ##
## sex: 1=female, 2=male, 0=asexual
## Type of catch: legend                                                     ##
##               1 = catch in weight                                         ##
##               2 = catch in numbers                                        ##
##               3 = catch in spawn (roe)                                    ##
## 
## n_ct_obs
   140
## Year gear area group sex type value
   1951    66.143    4    1    1     0    1.0000      1
   1952    72.376    4    1    1     0    1.0000      1
   1953    111.307   4    1    1     0    1.0000      1
   1954    82.141    4    1    1     0    1.0000      1
   1955    69.854    4    1    1     0    1.0000      1
   1956    25.667    4    1    1     0    1.0000      1
   1957    24.126    4    1    1     0    1.0000      1
   1958    16.911    4    1    1     0    1.0000      1
   1959    47.864    4    1    1     0    1.0000      1
   1960    55.709    4    1    1     0    1.0000      1
   1961    44.326    4    1    1     0    1.0000      1
   1962    35.574    4    1    1     0    1.0000      1
   1963    37.381    4    1    1     0    1.0000      1
   1964    35.954    4    1    1     0    1.0000      1
   1965    38.39     4    1    1     0    1.0000      1
   1966    7.211     4    1    1     0    1.0000      1
   1967    9.647     4    1    1     0    1.0000      1
   1968    9.442     4    1    1     0    1.0000      1
   1969    14.039    4    1    1     0    1.0000      1
   1970    34.163    4    1    1     0    1.0000      1
   1971    38.921    4    1    1     0    1.0000      1
   1972    25.139    4    1    1     0    1.0000      1
   1973    16.191    4    1    1     0    1.0000      1
   1974    40.571    4    1    1     0    1.0000      1
   1975    70.208    4    1    1     0    1.0000      1
   1976    60.511    4    1    1     0    1.0000      1
   1977    78.113    4    1    1     0    1.0000      1
   1978    101.784   4    1    1     0    1.0000      1
   1979    63.973    4    1    1     0    1.0000      1
   1980    85.679    4    1    1     0    1.0000      1
   1981    54.754    4    1    1     0    1.0000      1
   1982    100.611   4    1    1     0    1.0000      1
   1983    64.243    4    1    1     0    1.0000      1
   1984    26.054    4    1    1     0    1.0000      1
   1985    25.024    4    1    1     0    1.0000      1
   1986    41.575    4    1    1     0    1.0000      1
   1987    41.737    4    1    1     0    1.0000      1
   1988    24.976    5    1    1     0    1.1666      1
   1989    66.052    5    1    1     0    1.1666      1
   1990    67.15     5    1    1     0    1.1666      1
   1991    45.827    5    1    1     0    1.1666      1
